station,line,day,report-start-time,report-end-time,description,offense,victim-sex,victim-age,offender-sex,offender-age,offender-detained
SAN PEDRO DE LOS PINOS,7,TUESDAY,19:30,00:46,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,23,MAN,32,
OCEANÍA,5,THURSDAY,14:01,19:30,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,31,MAN,63,
MERCED,1,MONDAY,09:43,10:15,TOUCHING OF GENITALS,SEXUAL ASSAULT,MAN,18,MAN,36,
SANTA ANITA,8,MONDAY,14:55,21:40,PICTURE TAKING,SEXUAL HARASSMENT,WOMAN,27,MAN,59,
INSURGENTES,1,MONDAY,16:36,17:35,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,24,MAN,50,NO ARREST
BELLAS ARTES,2,THURSDAY,10:59,18:36,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,22,MAN,18,
GÓMEZ FARIAS,1,THURSDAY,10:23,13:40,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,32,MAN,48,
NIÑOS HÉROES,3,FRIDAY,13:30,19:07,DOMESTIC VIOLENCE (VERBAL),DOMESTIC VIOLENCE,WOMAN,41,MAN,43,
XOLA,2,FRIDAY,16:09,19:15,PURSUIT WITH POSSIBLE SEXUAL INTENT,SEXUAL HARASSMENT,WOMAN,35,MAN,38,NO ARREST
HIDALGO,3,MONDAY,10:54,15:30,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,26,MAN,39,
HIDALGO,2,MONDAY,18:28,02:45,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,32,MAN,20,
HIDALGO,3,TUESDAY,15:18,00:10,TOUCHING OF BUTTOCKS ,SEXUAL ASSAULT,WOMAN,20,MAN,25,
HIDALGO,2,WEDNESDAY_,11:40,17:54,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,17,MAN,29,
PANTITLÁN,9,THURSDAY,09:45,16:20,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,21,MAN,23,
HIDALGO,2,THURSDAY,14:00,16:55,MOBBING,MOBBING,WOMAN,24,WOMAN,31,NO ARREST
PINO SUÁREZ,1,FRIDAY,13:55,20:31,TOUCHING OF PUBIC AREA,SEXUAL ASSAULT,WOMAN,18,MAN,29,
PANTITLÁN,A,FRIDAY,19:40,04:40,TOUCHING OF PUBIC AREA,SEXUAL ASSAULT,WOMAN,36,MAN,32,
PANTITLÁN,9,MONDAY,08:45,18:28,FRICTION OF PENIS ON BUTTOCKS,SEXUAL ASSAULT,WOMAN,12,MAN,36,
GUERRERO,3,MONDAY,09:24,15:40,TOUCHING OF PUBIC AREA,SEXUAL ASSAULT,WOMAN,22,MAN,37,
SAN LÁZARO,B,THURSDAY,14:20,23:20,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,26,MAN,55,
HIDALGO,3,THURSDAY,15:50,21:39,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,22,MAN,45,
SAN ANTONIO ,2,TUESDAY,10:20,19:40,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,28,MAN,62,
CHABACANO,8,TUESDAY,10:20,17:50,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,18,MAN ,21,
HIDALGO,2,THURSDAY,12:23,12:45,FRICTION OF PENIS ON BUTTOCKS,SEXUAL ASSAULT,WOMAN,43,MAN,31,
BELLAS ARTES,2,THURSDAY,14:55,20:00,TOUCHING OF PUBIC AREA AND PENIS FRICTION,SEXUAL ASSAULT,WOMAN,24,MAN,30,
GUERRERO,3,THURSDAY,18:25,00:10,MASTURBATION ,SEXUAL HARASSMENT,WOMAN,26,MAN,47,
LA RAZA,3,FRIDAY,09:40,15:16,TOUCHING OF BUTTOCKS ,SEXUAL ASSAULT,WOMAN,23,MAN,25,
HIDALGO,2,FRIDAY,11:53,17:07,TOUCHING OF BUTTOCKS AND PUBIC AREA,SEXUAL ASSAULT,WOMAN,19,MAN,28,
TACUBAYA,9,MONDAY,08:43,15:30,TOUCHING OF PUBIC AREA,SEXUAL ASSAULT,WOMAN,40,MAN,27,
GARIBALDI,B,MONDAY,14:20,21:00,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,40,MAN,62,
SAN COSME,2,MONDAY,15:40,19:15,TOUCHING OF LEG,SEXUAL ASSAULT,WOMAN,12,MAN,30,
HIDALGO,2,MONDAY,19:12,23:24,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,10,MAN,40,
BALDERAS,1,TUESDAY,12:43,16:00,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,40,MAN,24,
XOLA,2,TUESDAY,13:10,20:50,MASTURBATION AND EJACULATION,SEXUAL ASSAULT,WOMAN,35,MAN,36,
HIDALGO,2,WEDNESDAY_,13:31,19:15,FRICTION OF PENIS ON BUTTOCKS,SEXUAL ASSAULT,WOMAN,19,MAN,60,
PANTITLÁN,9,WEDNESDAY_,10:20,11:10,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,19,MAN,21,
